configuration,complete,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE,macro_F1_mean,MAE_mean
W0-bN-m04,True,modality,T,16,29,1.0,0.564717152365514,0.6531272042306054,0.5599716131917788,0.6649240526595217
W0-bN-m04,True,modality,T,16,43,1.0,0.5593088838209246,0.6428752618227814,0.5599716131917788,0.6649240526595217
W0-bN-m04,True,modality,TA,16,17,0.992445054945055,0.5548353125279105,0.7013358197267295,0.5602016966347301,0.6674712828194954
W0-bN-m04,True,modality,TA,16,29,0.992445054945055,0.5656199872158139,0.6550496544978059,0.5602016966347301,0.6674712828194954
W0-bN-m04,True,modality,TA,16,43,0.992445054945055,0.5601497901604658,0.6460283742339509,0.5602016966347301,0.6674712828194954
W0-bN-m04,True,modality,TV,16,17,0.9625686813186813,0.5578269742969577,0.6949629753959256,0.5607111460936754,0.6627497235826495
W0-bN-m04,True,modality,TV,16,29,0.9625686813186813,0.5627022425765822,0.6508868667847792,0.5607111460936754,0.6627497235826495
W0-bN-m04,True,modality,TV,16,43,0.9625686813186813,0.5616042214074863,0.6423993285672436,0.5607111460936754,0.6627497235826495
W0-bN-m04,True,modality,V,16,17,0.9625686813186813,0.5747044620063523,0.6785860256034609,0.5698889634216403,0.6428518047434078
W0-bN-m04,True,modality,V,16,29,0.9625686813186813,0.5661796806629871,0.6231540726503226,0.5698889634216403,0.6428518047434078
W0-bN-m04,True,modality,V,16,43,0.9625686813186813,0.5687827475955813,0.6268153159764398,0.5698889634216403,0.6428518047434078
W0-bN-m04,True,rate,0.1,24,17,0.9809981684981685,0.5679569590894139,0.6807618581019458,0.5652505858288746,0.6451789379128251
W0-bN-m04,True,rate,0.1,24,29,0.9809981684981685,0.5617915451545862,0.6267378338115177,0.5652505858288746,0.6451789379128251
W0-bN-m04,True,rate,0.1,24,43,0.9809981684981685,0.5660032532426237,0.6280371218250117,0.5652505858288746,0.6451789379128251
W0-bN-m04,True,rate,0.3,24,17,0.9809981684981685,0.5677759828804368,0.6857192088952968,0.566394751729599,0.6502005761046685
W0-bN-m04,True,rate,0.3,24,29,0.9809981684981685,0.5658154720120971,0.632644344937693,0.566394751729599,0.6502005761046685
W0-bN-m04,True,rate,0.3,24,43,0.9809981684981685,0.5655928002962628,0.6322381744810158,0.566394751729599,0.6502005761046685
W0-bN-m04,True,rate,0.5,24,17,0.9809981684981685,0.562870464846139,0.6897214857898054,0.5633486537271221,0.6552492239138114
W0-bN-m04,True,rate,0.5,24,29,0.9809981684981685,0.5641927049385472,0.6397575820659983,0.5633486537271221,0.6552492239138114
W0-bN-m04,True,rate,0.5,24,43,0.9809981684981685,0.5629827913966801,0.6362686038856304,0.5633486537271221,0.6552492239138114
W0-bN-m04,True,rate,0.7,24,17,0.9720695970695972,0.557807737007027,0.7008893651947092,0.5611937137134652,0.6675265697599836
W0-bN-m04,True,rate,0.7,24,29,0.9720695970695972,0.5640351094925781,0.654619284911863,0.5611937137134652,0.6675265697599836
W0-bN-m04,True,rate,0.7,24,43,0.9720695970695972,0.5617382946407906,0.6470710591733783,0.5611937137134652,0.6675265697599836
W0-bN-m04,True,position,back,24,17,0.9787660256410257,0.5630532393693753,0.693850629031365,0.5622346263074425,0.6561917173342157
W0-bN-m04,True,position,back,24,29,0.9787660256410257,0.5603859104296506,0.6414950143897484,0.5622346263074425,0.6561917173342157
W0-bN-m04,True,position,back,24,43,0.9787660256410257,0.5632647291233015,0.6332295085815335,0.5622346263074425,0.6561917173342157
W0-bN-m04,True,position,front,24,17,0.9787660256410257,0.5573056275539828,0.6936858155208389,0.5554401746878602,0.6610942589881649
W0-bN-m04,True,position,front,24,29,0.9787660256410257,0.5543691394637932,0.6451867655319575,0.5554401746878602,0.6610942589881649
W0-bN-m04,True,position,front,24,43,0.9787660256410257,0.5546457570458049,0.6444101959116982,0.5554401746878602,0.6610942589881649
W0-bN-m04,True,position,middle,24,17,0.9787660256410257,0.5700104818561275,0.6825711508275266,0.5727475128989322,0.648050721143393
W0-bN-m04,True,position,middle,24,29,0.9787660256410257,0.5756936448708231,0.6308339610138148,0.5727475128989322,0.648050721143393
W0-bN-m04,True,position,middle,24,43,0.9787660256410257,0.5725384119698459,0.6307470515888375,0.5727475128989322,0.648050721143393
W0-bN-m04,True,position,random,24,17,0.9787660256410257,0.5660417950435311,0.6869843226020268,0.5657653911048258,0.652818610225515
W0-bN-m04,True,position,random,24,29,0.9787660256410257,0.5653861368335416,0.6362433047915512,0.5657653911048258,0.652818610225515
W0-bN-m04,True,position,random,24,43,0.9787660256410257,0.565868241437405,0.6352282032829671,0.5657653911048258,0.652818610225515
W0-bN-m02,True,modality,A,16,17,0.992445054945055,0.5847682898033504,0.6806186198643008,0.5817100727601621,0.6445943788764317
W0-bN-m02,True,modality,A,16,29,0.992445054945055,0.5748085834934367,0.6244461444764053,0.5817100727601621,0.6445943788764317
W0-bN-m02,True,modality,A,16,43,0.992445054945055,0.5855533449836993,0.6287183722885887,0.5817100727601621,0.6445943788764317
W0-bN-m02,True,modality,AV,16,17,0.9625686813186813,0.5826805018242895,0.6813647444570408,0.5819445814807319,0.6446417188554268
W0-bN-m02,True,modality,AV,16,29,0.9625686813186813,0.576808811364896,0.6239746259506895,0.5819445814807319,0.6446417188554268
W0-bN-m02,True,modality,AV,16,43,0.9625686813186813,0.5863444312530103,0.62858578615855,0.5819445814807319,0.6446417188554268
