configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,43,0.9787660256410257,0.36194386036566883,0.8691602248207176
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,17,0.992445054945055,0.6105287982243065,0.6380242195218238
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,29,0.992445054945055,0.5882092473170228,0.7070407245588158
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,43,0.992445054945055,0.5959145530195371,0.681980513320897
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,17,0.9625686813186813,0.604699439558827,0.6391452908074682
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,29,0.9625686813186813,0.5896293815512278,0.7079812412277213
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,43,0.9625686813186813,0.5938480708011008,0.6814730744545561
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,17,1.0,0.597162730045701,0.6556380780207675
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,29,1.0,0.5774391539210451,0.7110939205704765
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,43,1.0,0.592152136993254,0.7091875937516854
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,17,0.992445054945055,0.5930409917619734,0.6547058143455032
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,29,0.992445054945055,0.5750662922372862,0.7128198686241576
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,43,0.992445054945055,0.5874874842809414,0.7089810864258869
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,17,0.9625686813186813,0.5915849782669589,0.654339742720264
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,29,0.9625686813186813,0.5772382374367008,0.7090164060721594
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,43,0.9625686813186813,0.5920027255291584,0.7067636002944792
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,17,0.9625686813186813,0.6092094875591592,0.6390067579747128
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,29,0.9625686813186813,0.5930377889709615,0.7053031842470663
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,43,0.9625686813186813,0.5948179235255364,0.6796080929540013
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,17,0.9809981684981685,0.6121286823058194,0.6392754835948155
