configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,completed_seeds,macro_F1_mean,macro_F1_seed_sd_ddof1,MAE_mean,MAE_seed_sd_ddof1
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.1:random,TA,0.1,random,3,724,728,0.9945054945054945,4,17;29;43,0.3029688598059164,0.018310413521759508,0.8190540204764952,0.036082378502918074
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.3:front,TA,0.3,front,1,724,728,0.9945054945054945,4,17;29;43,0.3011033129956346,0.018467207666340767,0.8222366909659277,0.038381214558874964
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.3:middle,TA,0.3,middle,1,724,728,0.9945054945054945,4,17;29;43,0.30022070126449296,0.006869904576585005,0.8184854558240682,0.035116416105440494
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.3:back,TA,0.3,back,1,724,728,0.9945054945054945,4,17;29;43,0.3079465240396309,0.021405105966088515,0.8211699476514728,0.035538535092687354
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.3:random,TA,0.3,random,3,724,728,0.9945054945054945,4,17;29;43,0.29752796274144505,0.013709138175127585,0.820075851810814,0.034556575827911086
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.5:front,TA,0.5,front,1,724,728,0.9945054945054945,4,17;29;43,0.30064940224505216,0.022737649925327164,0.8246690225377554,0.038670967772653414
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.5:middle,TA,0.5,middle,1,724,728,0.9945054945054945,4,17;29;43,0.2988451215638541,0.007772519258216766,0.8198433246965872,0.03569986680625045
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.5:back,TA,0.5,back,1,724,728,0.9945054945054945,4,17;29;43,0.30508644179567507,0.015991984628873007,0.822773024216096,0.033386009662907376
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.5:random,TA,0.5,random,3,724,728,0.9945054945054945,4,17;29;43,0.2939865443989395,0.01264544116681029,0.8246299602380823,0.03642261000776825
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.7:front,TA,0.7,front,1,718,728,0.9862637362637363,10,17;29;43,0.2965091609376749,0.027611724889468604,0.8335389737619749,0.04104471165545466
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.7:middle,TA,0.7,middle,1,718,728,0.9862637362637363,10,17;29;43,0.29788174116058813,0.016695380478102914,0.8247028724394906,0.037907020769998925
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.7:back,TA,0.7,back,1,718,728,0.9862637362637363,10,17;29;43,0.29781215705524816,0.005995457528285778,0.8251657816753598,0.03387083318181916
